geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000164266,1,protein_coding,SPINK1,01,turquoise
ENSG00000164379,1,protein_coding,FOXQ1,01,turquoise
ENSG00000164691,1,protein_coding,TAGAP,01,turquoise
ENSG00000164934,1,protein_coding,DCAF13,01,turquoise
ENSG00000165507,1,protein_coding,C10orf10,01,turquoise
ENSG00000165606,1,protein_coding,DRGX,01,turquoise
ENSG00000165997,1,protein_coding,ARL5B,01,turquoise
ENSG00000166224,1,protein_coding,SGPL1,01,turquoise
ENSG00000166341,1,protein_coding,DCHS1,01,turquoise
ENSG00000166501,1,protein_coding,PRKCB,01,turquoise
ENSG00000166920,1,protein_coding,C15orf48,01,turquoise
ENSG00000167004,1,protein_coding,PDIA3,01,turquoise
ENSG00000167491,0,protein_coding,GATAD2A,00,grey
ENSG00000167600,1,protein_coding,CYP2S1,01,turquoise
ENSG00000167680,1,protein_coding,SEMA6B,01,turquoise
ENSG00000167772,1,protein_coding,ANGPTL4,01,turquoise
ENSG00000167851,1,protein_coding,CD300A,01,turquoise
ENSG00000167914,1,protein_coding,GSDMA,01,turquoise
ENSG00000167994,1,protein_coding,RAB3IL1,01,turquoise
ENSG00000168329,1,protein_coding,CX3CR1,01,turquoise
ENSG00000168394,1,protein_coding,TAP1,01,turquoise
ENSG00000168427,0,protein_coding,KLHL30,00,grey
ENSG00000168685,1,protein_coding,IL7R,01,turquoise
ENSG00000168899,1,protein_coding,VAMP5,01,turquoise
ENSG00000169136,1,protein_coding,ATF5,01,turquoise
ENSG00000169385,1,protein_coding,RNASE2,01,turquoise
ENSG00000169403,1,protein_coding,PTAFR,01,turquoise
ENSG00000169429,1,protein_coding,CXCL8,01,turquoise
ENSG00000169508,1,protein_coding,GPR183,01,turquoise
ENSG00000169564,1,protein_coding,PCBP1,01,turquoise
ENSG00000169583,1,protein_coding,CLIC3,01,turquoise
ENSG00000169962,1,protein_coding,TAS1R3,01,turquoise
ENSG00000170439,1,protein_coding,METTL7B,01,turquoise
ENSG00000170476,1,protein_coding,MZB1,01,turquoise
ENSG00000170542,1,protein_coding,SERPINB9,01,turquoise
ENSG00000170837,1,protein_coding,GPR27,01,turquoise
ENSG00000170989,1,protein_coding,S1PR1,01,turquoise
ENSG00000171236,1,protein_coding,LRG1,01,turquoise
ENSG00000171302,1,protein_coding,CANT1,01,turquoise
ENSG00000171310,1,protein_coding,CHST11,01,turquoise
ENSG00000171631,1,protein_coding,P2RY6,01,turquoise
ENSG00000172819,1,protein_coding,RARG,01,turquoise
ENSG00000173110,1,protein_coding,HSPA6,01,turquoise
ENSG00000173208,1,protein_coding,ABCD2,01,turquoise
ENSG00000173239,1,protein_coding,LIPM,01,turquoise
ENSG00000173535,1,protein_coding,TNFRSF10C,01,turquoise
ENSG00000173762,1,protein_coding,CD7,01,turquoise
ENSG00000173801,1,protein_coding,JUP,01,turquoise
ENSG00000173894,0,protein_coding,CBX2,00,grey
ENSG00000174600,1,protein_coding,CMKLR1,01,turquoise
ENSG00000174611,1,protein_coding,KY,01,turquoise
ENSG00000174718,1,protein_coding,KIAA1551,01,turquoise
ENSG00000174951,1,protein_coding,FUT1,01,turquoise
ENSG00000175040,1,protein_coding,CHST2,01,turquoise
ENSG00000175315,1,protein_coding,CST6,01,turquoise
ENSG00000175592,1,protein_coding,FOSL1,01,turquoise
ENSG00000176170,1,protein_coding,SPHK1,01,turquoise
ENSG00000176749,1,protein_coding,CDK5R1,01,turquoise
ENSG00000177030,1,protein_coding,DEAF1,01,turquoise
ENSG00000177542,1,protein_coding,SLC25A22,01,turquoise
ENSG00000177663,1,protein_coding,IL17RA,01,turquoise
ENSG00000178199,1,protein_coding,ZC3H12D,01,turquoise
ENSG00000179144,1,protein_coding,GIMAP7,01,turquoise
ENSG00000179218,1,protein_coding,CALR,01,turquoise
ENSG00000180113,1,protein_coding,TDRD6,01,turquoise
ENSG00000180340,1,protein_coding,FZD2,01,turquoise
ENSG00000180448,1,protein_coding,HMHA1,01,turquoise
ENSG00000180573,1,protein_coding,HIST1H2AC,01,turquoise
ENSG00000180596,1,protein_coding,HIST1H2BC,01,turquoise
ENSG00000180767,1,protein_coding,CHST13,01,turquoise
ENSG00000180871,1,protein_coding,CXCR2,01,turquoise
ENSG00000180953,1,protein_coding,ST20,01,turquoise
ENSG00000181374,1,protein_coding,CCL13,01,turquoise
ENSG00000181444,1,protein_coding,ZNF467,01,turquoise
ENSG00000181631,1,protein_coding,P2RY13,01,turquoise
ENSG00000181744,1,protein_coding,C3orf58,01,turquoise
ENSG00000182054,1,protein_coding,IDH2,01,turquoise
ENSG00000182287,1,protein_coding,AP1S2,01,turquoise
ENSG00000182568,1,protein_coding,SATB1,01,turquoise
ENSG00000183087,1,protein_coding,GAS6,01,turquoise
ENSG00000183160,0,protein_coding,TMEM119,00,grey
ENSG00000183307,1,protein_coding,CECR6,01,turquoise
ENSG00000183484,1,protein_coding,GPR132,01,turquoise
ENSG00000183530,1,protein_coding,PRR14L,01,turquoise
ENSG00000183607,1,protein_coding,GKN2,01,turquoise
ENSG00000183684,1,protein_coding,ALYREF,01,turquoise
