geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
ENSG00000164902,0.008333088818342459,6.000645906533553,0.14738765619459984,0.88349764942097,0.9360207723649092,-6.636809255029025,visit,up
ENSG00000177238,0.03957115687325503,-1.2821019043399786,0.1471768320815323,0.8836630676201773,0.9361268917500417,-6.636840470456703,visit,up
ENSG00000148090,0.033299991013491625,4.104683975710333,0.1470088284934265,0.8837948914547316,0.9361974092010321,-6.636865313753868,visit,up
ENSG00000151729,-0.046994523771532924,2.104813150972514,-0.14692002074135246,0.8838645757065977,0.9362013375802134,-6.636878434624277,visit,down
ENSG00000106089,-0.059844025441792764,0.2274636453683947,-0.14677169341403037,0.8839809649025503,0.9362013375802134,-6.636900331530999,visit,down
ENSG00000111450,0.01727029576408,4.509185916477716,0.14675460234771878,0.8839943760533647,0.9362013375802134,-6.636902853189776,visit,up
ENSG00000132535,-0.0401854745511771,1.0919431335735958,-0.14620056196935147,0.8844291433669598,0.9365926397536285,-6.6369844387985095,visit,down
ENSG00000221955,0.05623583979645871,0.9953781124661831,0.14590176305158994,0.8846636322080536,0.9367654364835434,-6.637028310680512,visit,up
ENSG00000184368,0.04129696824593776,-1.4473913544996626,0.14582622720528168,0.8847229122344576,0.9367654364835434,-6.637039387216866,visit,up
ENSG00000254521,-0.059993005392394806,5.7956229258414105,-0.14568467398657187,0.8848340040498228,0.9368068633523233,-6.6370601290742295,visit,down
ENSG00000106683,0.014817071679788817,7.295431569467501,0.1455522275845111,0.8849379509015252,0.9368068633523233,-6.637079518281836,visit,up
ENSG00000077157,0.029719612640542674,3.665048247598738,0.14538629562028094,0.8850681808498772,0.9368068633523233,-6.637103784674022,visit,up
ENSG00000188676,0.05282586405646254,-0.7642440782460066,0.14518633846514567,0.8852251193760771,0.9368068633523233,-6.637132990273143,visit,up
ENSG00000250067,-0.046487989311951076,1.0030309962778992,-0.14511905443653966,0.8852779290179256,0.9368068633523233,-6.637142808700666,visit,down
ENSG00000169418,-0.05164565262119517,-1.138690792605182,-0.14508621561051535,0.8853037036267932,0.9368068633523233,-6.63714759905801,visit,down
ENSG00000161016,-0.01469462114957234,8.446916418066838,-0.14499360567975736,0.8853763921858276,0.9368068633523233,-6.637161102679448,visit,down
ENSG00000157224,0.04637958189473599,2.203323951500451,0.14498707165517266,0.8853815207105771,0.9368068633523233,-6.637162055092074,visit,up
ENSG00000135392,0.020682111915123275,4.418313031952564,0.14493105637322956,0.8854254870421148,0.9368068633523233,-6.6371702182332735,visit,up
ENSG00000166946,-0.009144057168149528,7.3359761664862155,-0.14491469957644768,0.8854383255422678,0.9368068633523233,-6.637172601324778,visit,down
ENSG00000159256,-0.019515088978657384,6.096211362786261,-0.14483840256538397,0.8854982117120559,0.9368068633523233,-6.637183713811841,visit,down
ENSG00000029363,-0.011393525156477742,6.789047273117501,-0.14477796705274407,0.8855456485376312,0.9368068633523233,-6.637192511957816,visit,down
ENSG00000163209,0.08171902049432256,0.11874011381331152,0.1445435833937621,0.8857296241294418,0.936932398448678,-6.637226598613038,visit,up
ENSG00000175970,0.02984005051852076,3.3609068966102464,0.1441918801020414,0.8860056997840603,0.9371553320874534,-6.63727764366886,visit,up
ENSG00000197965,-0.016399147658627277,6.271800099712351,-0.14403687264912743,0.8861273801430828,0.9372149362675218,-6.637300101496019,visit,down
ENSG00000187713,0.02000069035207029,6.378006958796919,0.14352351640799232,0.8865303829765033,0.9375720511744134,-6.637374305394627,visit,up
ENSG00000182612,-0.04509446505944292,-0.7234917430354095,-0.14336027745860017,0.8866585376994841,0.9375976078232025,-6.637397845564551,visit,down
ENSG00000160948,-0.010472579841145607,7.825552360730191,-0.1432945743489708,0.8867101203954306,0.9375976078232025,-6.637407312847059,visit,down
ENSG00000135378,0.029766463813220827,4.158873015983551,0.1432429932741903,0.8867506164049359,0.9375976078232025,-6.637414742221382,visit,up
ENSG00000166436,0.05438981091052807,2.6168753041306534,0.14313294903037976,0.8868370125393022,0.937605750970522,-6.637430583286412,visit,up
ENSG00000204435,-0.012936190610877314,5.532541073961679,-0.14306669290341073,0.886889031135507,0.937605750970522,-6.637440115107871,visit,down
ENSG00000136930,-0.011855779187649245,7.432319572513736,-0.1428521866022522,0.8870574464379661,0.9376905720396133,-6.637470944435741,visit,down
ENSG00000184831,-0.015635921419429856,4.903057885197703,-0.14277303649642367,0.8871195908823699,0.9376905720396133,-6.637482308394407,visit,down
ENSG00000100979,-0.041119088747529765,7.141287657477966,-0.14271475404370193,0.8871653516167343,0.9376905720396133,-6.637490672261919,visit,down
ENSG00000165118,0.01245500629328222,5.527492539767659,0.1425115472592523,0.8873249033952408,0.9377901181750498,-6.637519806920434,visit,up
ENSG00000165125,0.035771423705896165,-1.5057174186486129,0.14229258676943052,0.887496829789827,0.9379027270839676,-6.637551153835342,visit,up
