P337_BAL_EOS.pct.1,P337_BAL_EOS.pct.2,P337_BAL_EOS.pct.3,P337_BAL_EOS.pct.4,P337_BAL_EOS.pct.5,P337_BAL_EOS.pct.6,P337_BAL_EOS.pct.7,P337_BAL_EOS.pct.8,P337_BAL_EOS.pct.9
ENSG00000100422,ENSG00000112624,ENSG00000105866,ENSG00000113761,ENSG00000130592,ENSG00000119866,ENSG00000116957,ENSG00000162063,
ENSG00000100427,ENSG00000112715,ENSG00000106144,ENSG00000113810,ENSG00000131508,ENSG00000121104,ENSG00000117569,ENSG00000163808,
ENSG00000100479,ENSG00000113387,ENSG00000106638,ENSG00000114026,ENSG00000131876,ENSG00000123411,ENSG00000117625,ENSG00000163918,
ENSG00000100600,ENSG00000113621,ENSG00000106799,ENSG00000114388,ENSG00000132507,ENSG00000123453,ENSG00000119392,ENSG00000164045,
ENSG00000100628,ENSG00000114686,ENSG00000107104,ENSG00000114626,ENSG00000132581,ENSG00000124203,ENSG00000119682,ENSG00000164109,
ENSG00000100721,ENSG00000114923,ENSG00000107242,ENSG00000114738,ENSG00000132646,ENSG00000124334,ENSG00000119787,ENSG00000164611,
ENSG00000100985,ENSG00000115091,ENSG00000108100,ENSG00000115216,ENSG00000132744,ENSG00000124479,ENSG00000123213,ENSG00000165244,
ENSG00000101187,ENSG00000115165,ENSG00000108557,ENSG00000115539,ENSG00000133398,ENSG00000124610,ENSG00000124181,ENSG00000165304,
ENSG00000101194,ENSG00000115598,ENSG00000110090,ENSG00000115902,ENSG00000134030,ENSG00000125347,ENSG00000125257,ENSG00000165480,
ENSG00000101216,ENSG00000115641,ENSG00000110092,ENSG00000116213,ENSG00000134058,ENSG00000125731,ENSG00000126216,ENSG00000165891,
ENSG00000101236,ENSG00000115718,ENSG00000110987,ENSG00000116350,ENSG00000134571,ENSG00000126353,ENSG00000127586,ENSG00000166451,
ENSG00000101265,ENSG00000115758,ENSG00000111087,ENSG00000117643,ENSG00000135363,ENSG00000127152,ENSG00000129657,ENSG00000166508,
ENSG00000101335,ENSG00000116584,ENSG00000111358,ENSG00000117676,ENSG00000135723,ENSG00000127616,ENSG00000132155,ENSG00000166803,
ENSG00000101445,ENSG00000116741,ENSG00000111445,ENSG00000118197,ENSG00000136280,ENSG00000127824,ENSG00000132405,ENSG00000166851,
ENSG00000101447,ENSG00000117523,ENSG00000111674,ENSG00000118557,ENSG00000136522,ENSG00000129521,ENSG00000133816,ENSG00000167513,
ENSG00000102096,ENSG00000117682,ENSG00000111728,ENSG00000119777,ENSG00000136689,ENSG00000129749,ENSG00000134802,ENSG00000167600,
ENSG00000102145,ENSG00000117748,ENSG00000112234,ENSG00000119950,ENSG00000136819,ENSG00000130005,ENSG00000134900,ENSG00000167900,
ENSG00000102174,ENSG00000118292,ENSG00000112763,ENSG00000120280,ENSG00000137309,ENSG00000130052,ENSG00000134955,ENSG00000168496,
ENSG00000102879,ENSG00000118579,ENSG00000113273,ENSG00000120437,ENSG00000137731,ENSG00000130787,ENSG00000135829,ENSG00000169607,
ENSG00000102962,ENSG00000118922,ENSG00000114450,ENSG00000121073,ENSG00000139278,ENSG00000131188,ENSG00000135838,ENSG00000169679,
ENSG00000102970,ENSG00000119689,ENSG00000114573,ENSG00000121769,ENSG00000139718,ENSG00000131584,ENSG00000136504,ENSG00000170312,
ENSG00000103056,ENSG00000119844,ENSG00000114812,ENSG00000122359,ENSG00000140749,ENSG00000131634,ENSG00000136715,ENSG00000171241,
ENSG00000103064,ENSG00000119943,ENSG00000114933,ENSG00000122390,ENSG00000141510,ENSG00000132185,ENSG00000136802,ENSG00000171320,
ENSG00000103196,ENSG00000120656,ENSG00000115306,ENSG00000122783,ENSG00000141526,ENSG00000133048,ENSG00000136811,ENSG00000171848,
ENSG00000103257,ENSG00000120659,ENSG00000115339,ENSG00000123136,ENSG00000141858,ENSG00000133275,ENSG00000136878,ENSG00000174371,
ENSG00000103355,ENSG00000120820,ENSG00000115594,ENSG00000123143,ENSG00000141867,ENSG00000133874,ENSG00000136937,ENSG00000175063,
ENSG00000103489,ENSG00000120833,ENSG00000115604,ENSG00000123179,ENSG00000142227,ENSG00000134594,ENSG00000136997,ENSG00000175305,
