geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
TARC,1.5617380387447248,2.0905865086988666,14.465145636998189,8.767259961143273e-17,1.176095848446049e-16,27.226297796785936,(Intercept),up
IL2,0.8061799739838872,0.9279849932931216,14.175097366865922,1.6566283084908314e-16,2.1693942134998983e-16,26.576835926400186,(Intercept),up
IL17A,0.7976998518317573,0.9391871662900269,13.340950767649927,1.08760192720303e-15,1.3911187440968989e-15,24.65678697206726,(Intercept),up
sCD40L,0.9643587453209141,1.1092933180914544,12.70432533954328,4.825075772340517e-15,6.031344715425646e-15,23.137277017783887,(Intercept),up
IL6,1.6169961613209545,1.9093168147259498,11.698188499035778,5.6145153647960213e-14,6.862185445861804e-14,20.635851966798157,(Intercept),up
CCL8,0.8823783403787744,1.0385323509824094,11.636298216259272,6.556222141133122e-14,7.838961255702646e-14,20.477877947093425,(Intercept),up
IFNG,0.8758151201567622,0.9952446755597851,11.534610406659741,8.467474728005678e-14,9.908747022134305e-14,20.217272746364195,(Intercept),up
TNFB,0.8688569315296196,0.9793498725403033,10.080536656150068,3.797809922361356e-12,4.35165720270572e-12,16.3463679783804,(Intercept),up
IL10,0.9287530976323404,1.1986737046435523,8.959218297753955,8.602897952022045e-11,9.656314027779845e-11,13.177217182269624,(Intercept),up
CXCL13,0.7400640772453599,0.9389953646147358,7.511502533521746,6.0675456584078484e-9,6.674300224248634e-9,8.868497509315196,(Intercept),up
CCL1,0.6399678444725982,0.8945306489627687,6.964352748675734,3.2075215095619796e-8,3.459091824037429e-8,7.188864865956585,(Intercept),up
IL13,0.8106529354036459,1.0937577063440813,6.916519908833953,3.714491515522888e-8,3.928789102956901e-8,7.041051074832049,(Intercept),up
IL9,0.854147657790253,1.3358253593658307,5.630820788228227,2.002683355265201e-6,2.0782563120676614e-6,3.0412607710541373,(Intercept),up
CCL27,0.38779688193231276,0.605929309094245,4.819045587591569,2.4776812963248167e-5,2.523564283293795e-5,0.5412604113199126,(Intercept),up
IL5,0.8077634629403686,1.5826960848233593,3.757998803089586,5.91931119149502e-4,5.91931119149502e-4,-2.5677392225539935,(Intercept),up
TARC,1.0576969399082832,2.0905865086988666,9.044247310838339,6.752121738129879e-11,3.7136669559714337e-9,14.722974514626515,visit,up
CCL22,0.9701531537570176,3.095660974232819,7.684258889763019,3.6072294287812498e-9,9.919880929148437e-8,10.75626459397174,visit,up
CCL7,0.5952097827235943,1.9308839240467635,6.916061633563413,3.7197204924493234e-8,6.819487569490426e-7,8.432914455708431,visit,up
IL5,1.5498652437659801,1.5826960848233593,6.656760483736509,8.264241576022114e-8,1.1363332167030408e-6,7.639156358263919,visit,up
TNFA,0.4662047475136809,1.8344103600464066,6.26481837691803,2.7825320761198367e-7,3.0607852837318204e-6,6.433597796673383,visit,up
IL1RA,0.7774402012922921,2.8736086981297624,6.073652096718286,5.041830271288633e-7,4.621677748681246e-6,5.844157386981165,visit,up
IL9,0.9633554031511555,1.3358253593658307,5.863026375715833,9.71483447367096e-7,7.633084229312896e-6,5.194506214233848,visit,up
PDGFAB,0.4178874541477493,2.060602090418896,5.122106454814379,9.730358099759957e-6,6.078920399761108e-5,2.920277853342374,visit,up
CCL1,0.5091256089803413,0.8945306489627687,5.114981992290667,9.947324290518177e-6,6.078920399761108e-5,2.898585811107183,visit,up
CCL27,0.43626485432386436,0.605929309094245,5.004993395506435,1.3975618754884987e-5,7.686590315186742e-5,2.564351762359899,visit,up
GMCSF,0.4069480698246548,1.8256878560964485,4.944838727955251,1.6825284303731845e-5,8.412642151865922e-5,2.382111415895758,visit,up
IL10,0.5398412140224236,1.1986737046435523,4.807645540018079,2.565933534671437e-5,1.1760528700577419e-4,1.9681491354439897,visit,up
VEGF,-0.4195914247579182,3.1318174400822016,-4.620129597163987,4.553804697733406e-5,1.8131488763140785e-4,1.4066655931114704,visit,down
GCSF,0.46735779259898325,2.8229738548629886,4.615729230115595,4.6152880487994724e-5,1.8131488763140785e-4,1.3935563969496547,visit,up
